Domain,CountryCode,MXDnsResponse,TXTDnsResponse,HasSPFInfo,HasDkimInfo,HasDmarcInfo,RegisteredOrg,CreationDate,ExpirationDate,UpdatedDate,RegisteredCountry,NameServers,SubdomainCount,EntropyOfSubDomains,HostIPs,DNSServersIPs,DNSServersCountries,HostIPsCountries,IpReputationDnsblInfo,DomainReputationVirusTotal,CommonPorts,HttpResponseCode,ASN,StrangeCharacters,ConsonantRatio,VowelRatio,NumericRatio,SpecialCharRatio,ConsonantSequence,VowelSequence,NumericSequence,SpecialCharSequence,Entropy,DomainLength,DomainInCiscoUmbrella,Class
a67.com,Null,Null,Null,False,False,False,"Hefei Juming Network Technology Co., Ltd.",2004-07-28,2025-07-28,2024-03-24,CN,"['NS47.DOMAINCONTROL.COM', 'NS48.DOMAINCONTROL.COM']",10,3.6842576774401765,[],[],[],[],0.0,"{'malicious': 1, 'suspicious': 0, 'undetected': 30, 'harmless': 63, 'timeout': 0}",Null,Null,Null,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,"['c', 'm']","['a', 'o']",['67'],[],2.807354922057604,7,0,0
medicinenet.com,Null,"['aspmx.l.google.com.', 'alt1.aspmx.l.google.com.', 'alt3.aspmx.l.google.com.', 'alt2.aspmx.l.google.com.', 'alt4.aspmx.l.google.com.']","['""google-site-verification=QFv70PhaDkym06rAKYn7iHfXEuez9dpKjmCcCa9qjLk""', '""globalsign-domain-verification=-8kpivpbgMACeanB8hk0ansSLujEnFA_i1ukkwKY1Y""', '""spf2.0/pra include:cust-senderid.exacttarget.com -all""', '""adobe-idp-site-verification=273cee5ce44db359754043668120f4ccf0076e55a5fe663ce1bced543f24d765""', '""google-site-verification=2cgFb1KJ2qaE--rH_-xrn_fmGqlyJE1nF0tW2Xf28-E""', '""gjm185w6t1z4mkwcm1rr026k7fwxbpwn""', '""5aa2af8cf811475faf8ae0a031067e00""', '""v=spf1 include:cust-spf.exacttarget.com include:_spf.google.com -all""']",True,False,False,"MarkMonitor, Inc.",1995-10-18,2025-10-17,2024-09-14,US,"['CLOE.NS.CLOUDFLARE.COM', 'TIM.NS.CLOUDFLARE.COM', 'tim.ns.cloudflare.com', 'cloe.ns.cloudflare.com']",10,3.604059020331309,"['172.64.154.227', '104.18.33.29']","['173.245.58.86', '172.64.32.86', '108.162.192.86', '108.162.193.145', '172.64.33.145', '173.245.59.145']","['CA', 'CA', 'CA', 'CA', 'US', 'CA']","['US', 'CA']",0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 30, 'harmless': 64, 'timeout': 0}","[80, 443]",200,Null,0,0.5333333333333333,0.4,0.0,0.0,"['m', 'd', 'c', 'n', 'n', 't', 'c', 'm']","['e', 'i', 'i', 'e', 'e', 'o']",[],[],3.0565647621309537,15,95273,0
agoravox.fr,FR,"['alt1.aspmx.l.google.com.', 'aspmx.l.google.com.', 'aspmx2.googlemail.com.', 'aspmx3.googlemail.com.', 'alt2.aspmx.l.google.com.']","['""v=spf1 a mx include:_spf.google.com ip4:51.158.156.131 ip4:62.210.98.10 -all""', '""google-site-verification=qck3bWnIbCcqJpOcNQQXjqdCTiTzpuIbqU3F0d3rKTE""']",True,False,False,GANDI,2005-02-24,2025-02-14,2024-01-14,Null,"['alexa.ns.cloudflare.com', 'harley.ns.cloudflare.com']",10,3.877565259805996,"['172.67.130.116', '104.21.3.72']","['162.159.44.128', '172.64.35.128', '108.162.195.128', '172.64.34.215', '108.162.194.215', '162.159.38.215']","['US', 'CA', 'CA', 'US', 'CA', 'CA']","['US', 'CA']",0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 30, 'harmless': 64, 'timeout': 0}","[80, 443]",200,Null,0,0.5454545454545454,0.36363636363636365,0.0,0.0,"['g', 'r', 'v', 'x', 'fr']","['a', 'o', 'a', 'o']",[],[],2.9139770731827523,11,0,0
cwisyquiomgaauik.xyz,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 94, 'harmless': 0, 'timeout': 0}",Null,Null,Null,0,0.55,0.4,0.0,0.0,"['cw', 'syq', 'mg', 'k', 'xyz']","['i', 'uio', 'aaui']",[],[],3.7841837197791888,20,0,1
mugla-magazin-haberleri.com.tr,Null,Null,Null,False,False,False,Null,2023-08-21,2025-08-20,Null,Null,"arushi.ns.cloudflare.com
mustafa.ns.cloudflare.com",0,0.0,"['172.67.144.171', '104.21.87.163']","['172.64.35.27', '162.159.44.27', '108.162.195.27', '172.64.34.61', '162.159.38.61', '108.162.194.61']","['CA', 'US', 'Unknown', 'Unknown', 'Unknown', 'Unknown']","['Unknown', 'Unknown']",0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 94, 'harmless': 0, 'timeout': 0}","[80, 443]",200,Null,0,0.5333333333333333,0.3333333333333333,0.0,0.06666666666666667,"['m', 'gl', 'm', 'g', 'z', 'n', 'h', 'b', 'rl', 'r', 'c', 'm', 'tr']","['u', 'a', 'a', 'a', 'i', 'a', 'e', 'e', 'i', 'o']",[],"['-', '-']",3.9232314287976204,30,0,0
tamansafari.com,Null,"['alt2.aspmx.l.google.com.', 'aspmx2.googlemail.com.', 'aspmx.l.google.com.', 'aspmx3.googlemail.com.', 'alt1.aspmx.l.google.com.']","['""google-site-verification=zBcDa1nK9tUSnkfbgHJATYQh3Sluq7BLfO_IgN2AG7E""', '""google-site-verification=CvFU3y4R3pvM5z_mpHMRK-wvK5mUQtbl_Zm6uzN0PnA""', '""google-site-verification=NnWSdM6z_kz-sKklcAiLDlkYCShrAr131cu5W-0SUf4""', '""ahrefs-site-verification_3f5e679e12e1fff2bc05f919ccc873120ff5d2cd579cad93e170c8f40cb55b3c""', '""google-site-verification=2WnQCodcjcKY0_BiTp21SiI3balVAGsRHnjb1kmCqA8""', '""v=spf1 ip4:69.90.162.165 include:relay.mailchannels.net include:_spf.elasticemail.com include:_spf.google.com ~all""']",True,False,False,"Network Solutions, LLC",1998-06-22,2026-06-21,2021-04-23,US,"['AJAY.NS.CLOUDFLARE.COM', 'BETH.NS.CLOUDFLARE.COM']",10,3.8771960104834524,"['104.26.9.152', '172.67.71.153', '104.26.8.152']","['173.245.59.56', '172.64.33.56', '108.162.193.56', '108.162.192.103', '172.64.32.103', '173.245.58.103']","['Unknown', 'Unknown', 'CA', 'CA', 'Unknown', 'Unknown']","['Unknown', 'Unknown', 'Unknown']",0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 29, 'harmless': 65, 'timeout': 0}","[80, 443]",200,Null,0,0.5333333333333333,0.4,0.0,0.0,"['t', 'm', 'ns', 'f', 'r', 'c', 'm']","['a', 'a', 'a', 'a', 'i', 'o']",[],[],3.2402239289418517,15,0,0
poplidays.com,Null,['poplidays-com.mail.protection.outlook.com.'],"['""google-site-verification=DcOlQ6vk5Nexo7fEB_e2U4xKDNw4tJSC4gmFbLaiMnQ""', '""v=spf1 ip4:195.6.1.39 ip4:91.121.222.167 include:spf.dolist.net include:spf.protection.outlook.com include:sendgrid.net include:spf-eu.letsignit.com ~all""', '""google-site-verification=zmrG__oytttbKWdkTOVG3yZi0KehvL4PWeCko8SqKtE""', '""MS=ms84364834""']",True,False,False,GANDI SAS,2010-10-28,2025-10-28,2024-09-27,FR,"['A.DNS.GANDI.NET', 'B.DNS.GANDI.NET', 'C.DNS.GANDI.NET']",10,3.977170739239495,['158.255.65.163'],"['173.246.98.1', '217.70.179.1', '213.167.229.1']","['Unknown', 'Unknown', 'Unknown']",['Unknown'],0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 30, 'harmless': 64, 'timeout': 0}","[80, 443]",200,Null,0,0.6153846153846154,0.3076923076923077,0.0,0.0,"['p', 'pl', 'd', 'ys', 'c', 'm']","['o', 'i', 'a', 'o']",[],[],3.3927474104487847,13,0,0
wvarj.org,Null,"['d98703b.ess.barracudanetworks.com.', 'd98703a.ess.barracudanetworks.com.']","['""infor-cloudsuite-domain-verification=Q9BVBW8DCXNSYNJ4LU8T49FAMQ2JF9CMWSKLC29VCLEUFVEXTT2F7L5XQY9BZ3VE""', '""v=spf1 ip4:66.96.128.0/18 ip4:52.119.59.68 include:spf.ess.barracudanetworks.com ?all""', '""621ddc5ec7043967fa934bdb01593bd0""', '""MS=1363556E3ADEF56EB4936E55F2E3139592A90C34""', '""1b0e759077f557799b19b7e53f4a20f4""', '""Q9BVBW8DCXNSYNJ4LU8T49FAMQ2JF9CMWSKLC29VCLEUFVEXTT2F7L5XQY9BZ3VE""']",True,False,False,"GoDaddy.com, LLC",2010-06-23,2025-06-23,2024-07-18,US,"['dns1.civicplus.com', 'dns2.civicplus.com']",8,3.941849705181388,['192.196.0.198'],"['205.251.193.52', '205.251.198.114', '205.251.197.25', '205.251.194.80', '205.251.194.80', '205.251.193.52', '205.251.198.114', '205.251.197.25']","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'US', 'Unknown', 'Unknown', 'Unknown']",['Unknown'],0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 31, 'harmless': 63, 'timeout': 0}","[80, 443]",200,Null,0,0.6666666666666666,0.2222222222222222,0.0,0.0,"['wv', 'rj', 'rg']","['a', 'o']",[],[],2.94770277922009,9,0,0
pafitanjungbalaikota.org,Null,['ghs.google.com.'],"['""google-site-verification=4NKBOMTrhL2OGLxrBRdhuYM2uggJFVeIlUNyFXhZiAs""']",False,False,False,NAMECHEAP INC,2024-04-21,2025-04-21,0001-01-01,IS,"['ashley.ns.cloudflare.com', 'max.ns.cloudflare.com']",1,3.6845608142862893,"['104.21.40.44', '172.67.175.94']","['172.64.33.132', '108.162.193.132', '173.245.59.132', '173.245.58.71', '172.64.32.71', '108.162.192.71']","['CA', 'CA', 'Unknown', 'Unknown', 'Unknown', 'Unknown']","['Unknown', 'Unknown']",0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 32, 'harmless': 62, 'timeout': 0}","[80, 443]",520,Null,0,0.5416666666666666,0.4166666666666667,0.0,0.0,"['p', 'f', 't', 'nj', 'ngb', 'l', 'k', 't', 'rg']","['a', 'i', 'a', 'u', 'a', 'ai', 'o', 'a', 'o']",[],[],3.6845608142862893,24,0,0
naodqxlyholplfkdhowakf.com,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,{},Null,Null,Null,0,0.7307692307692307,0.23076923076923078,0.0,0.0,"['n', 'dqxlyh', 'lplfkdh', 'w', 'kf', 'c', 'm']","['ao', 'o', 'o', 'a', 'o']",[],[],3.8252517372886508,26,0,1
