Domain,CountryCode,MXDnsResponse,TXTDnsResponse,HasSPFInfo,HasDkimInfo,HasDmarcInfo,RegisteredOrg,CreationDate,ExpirationDate,UpdatedDate,RegisteredCountry,NameServers,SubdomainCount,EntropyOfSubDomains,HostIPs,DNSServersIPs,DNSServersCountries,HostIPsCountries,IpReputationDnsblInfo,DomainReputationVirusTotal,CommonPorts,HttpResponseCode,ASN,StrangeCharacters,ConsonantRatio,VowelRatio,NumericRatio,SpecialCharRatio,ConsonantSequence,VowelSequence,NumericSequence,SpecialCharSequence,Entropy,DomainLength,DomainInCiscoUmbrella,Class
bazar.,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,{},Null,Null,Null,0,0.5,0.3333333333333333,0.0,0.0,"['b', 'z', 'r']","['a', 'a']",[],[],2.2516291673878226,6,0,1
80.lv,LV,"['alt1.aspmx.l.google.com.', 'alt4.aspmx.l.google.com.', 'alt2.aspmx.l.google.com.', 'alt3.aspmx.l.google.com.', 'aspmx.l.google.com.']","['""sqpfuAqf""', '""google-site-verification=nd7tOc7SZF3uTMzMvM_hf5FNIF1zd9-yYJI-8n5i8do""', '""google-site-verification=_MBEs-layvtyYeULlxijuxMHnIa3P4JdYptS4folq9k""', '""g13cqvki833d4l1ekhfpof3qfr""', '""google-site-verification=PG0j2sKtieAdYJc1AWlI01J9FYD8NwzHmQn_2PO-rQ0""', '""fca4pci649jk0or252i9iaht3k""', '""google-site-verification=Abkch1g9K9rOay56Mv67_hxBEcH9enHEzWERrB58OHk""', '""google-site-verification=6Pw7JCR5kePNm_5YFWzbhjtptwrow3bkRaE5hmAVPys""', '""google-site-verification=GB6YGOwmVUrYAuqcgBMr4GGRV3MRYw4oQwL0VW84u-g""', '""v=spf1 mx ip4:185.30.20.18/32 ip4:185.30.21.18/32 ip4:185.30.23.18/32 include:_spf.google.com include:mailgun.org -all""', '""google-site-verification=D50WR0YN3ciR2loY1P7yIUCsDRTGSFABGJJJXN-uO93U""', '""19ga3o64lto5a68onot7737vbr""', '""facebook-domain-verification=4s3gfdct9tro7oy0xkbk5kr3o1xxuw""']",True,False,False,Null,Null,Null,Null,Null,Null,10,3.947116917656852,['185.30.21.78'],"['198.51.45.3', '198.51.45.67', '198.51.44.67', '198.51.44.3']","['US', 'US', 'US', 'US']",['US'],0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 31, 'harmless': 63, 'timeout': 0}","[80, 443]",200,Null,0,0.4,0.0,0.4,0.0,['lv'],[],['80'],[],2.321928094887362,5,470479,0
tsrnnqsropbgtal.com,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 94, 'harmless': 0, 'timeout': 0}",Null,Null,Null,0,0.7894736842105263,0.15789473684210525,0.0,0.0,"['tsrnnqsr', 'pbgt', 'l', 'c', 'm']","['o', 'a', 'o']",[],[],3.7216117239698994,19,0,1
8thandwalton.com,Null,"['alt2.aspmx.l.google.com.', 'alt4.aspmx.l.google.com.', 'aspmx.l.google.com.', 'alt1.aspmx.l.google.com.', 'alt3.aspmx.l.google.com.']","['""v=spf1 mx a include:_spf.google.com include:668902.spf01.hubspotemail.net ~all""']",True,False,False,"GoDaddy.com, LLC",2006-07-01,2025-07-01,2024-07-02,US,"['ELIJAH.NS.CLOUDFLARE.COM', 'KHLOE.NS.CLOUDFLARE.COM']",10,3.870533177554517,"['141.193.213.20', '141.193.213.21']","['108.162.194.139', '162.159.38.139', '172.64.34.139', '172.64.35.253', '162.159.44.253', '108.162.195.253']","['CA', 'US', 'CA', 'CA', 'CA', 'Unknown']","['Unknown', 'Unknown']",0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 30, 'harmless': 64, 'timeout': 0}","[80, 443]",403,Null,0,625,0.25,0.0625,0.0,"['th', 'ndw', 'lt', 'n', 'c', 'm']","['a', 'a', 'o', 'o']",['8'],[],3.5,16,0,0
5c05306bd42d6.tickets,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 94, 'harmless': 0, 'timeout': 0}",Null,Null,Null,0,0.42857142857142855,0.09523809523809523,0.42857142857142855,0.0,"['c', 'bd', 'd', 't', 'ck', 'ts']","['i', 'e']","['5', '05306', '42', '6']",[],3.8208888513501877,21,0,1
beenew-rollformer.com,Null,"['hzmx02.mxmail.netease.com.', 'hzmx01.mxmail.netease.com.']","['""v=spf1 include:spf.163.com -all""', '""google-site-verification=keSkGjlI2W1lLLbE6iz05rrNkoBZLEJ_qOtHD6Fv1EM""']",True,False,False,"XIAMEN CHINASOURCE INTERNET SERVICE CO., LTD.",2024-09-03,2027-09-03,2024-09-03,China,"['ANNA.NS.CLOUDFLARE.COM', 'ERIC.NS.CLOUDFLARE.COM', 'anna.ns.cloudflare.com', 'eric.ns.cloudflare.com']",1,3.383465189601647,"['172.67.179.8', '104.21.56.65']","['108.162.192.102', '173.245.58.102', '172.64.32.102', '173.245.59.112', '172.64.33.112', '108.162.193.112']","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']","['Unknown', 'Unknown']",0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 31, 'harmless': 63, 'timeout': 0}","[80, 443]",200,Null,0,0.5714285714285714,0.3333333333333333,0.0,0.047619047619047616,"['b', 'n', 'w', 'r', 'llf', 'rm', 'r', 'c', 'm']","['ee', 'e', 'o', 'o', 'e', 'o']",[],['-'],3.3680424225727155,21,0,0
073i5mvlkl2.life,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,{},Null,Null,Null,0,0.4375,0.1875,0.3125,0.0,"['mvlkl', 'l', 'f']","['i', 'i', 'e']","['073', '5', '2']",[],3.577819531114783,16,0,1
fbndribhjiddnss.ru,RU,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,{},Null,Null,Null,0,0.7777777777777778,0.16666666666666666,0.0,0.0,"['fbndr', 'bhj', 'ddnss', 'r']","['i', 'i', 'u']",[],[],3.350209029099897,18,0,1
muamwaomqkamkusc.xyz,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,"{'malicious': 0, 'suspicious': 0, 'undetected': 94, 'harmless': 0, 'timeout': 0}",Null,Null,Null,0,0.65,0.3,0.0,0.0,"['m', 'mw', 'mqk', 'mk', 'sc', 'xyz']","['ua', 'ao', 'a', 'u']",[],[],3.4841837197791885,20,0,1
q32lwzhd278s1o81yp1ouq7d.org,Null,Null,Null,False,False,False,Null,Null,Null,Null,Null,Null,0,0.0,[],[],[],[],0.0,{},Null,Null,Null,0,0.4642857142857143,0.14285714285714285,0.35714285714285715,0.0,"['q', 'lwzhd', 's', 'yp', 'q', 'd', 'rg']","['o', 'ou', 'o']","['32', '278', '1', '81', '1', '7']",[],4.110577243331642,28,0,1
